day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14040,1420,1825,8447,0,0
15,14040,1420,1825,8447,0,0
20,14040,1420,1825,8447,0,0
25,14039,1420,1825,8446,0,0
30,14039,1420,1825,8446,0,0
35,14039,1420,1825,8446,0,0
40,14037,1420,1825,8445,0,0
45,14037,1420,1825,8445,0,0
50,14035,1418,1825,8445,0,0
55,14035,1418,1825,8445,0,0
60,14034,1418,1825,8445,0,0
65,14034,1418,1825,8445,0,0
70,14034,1418,1825,8445,0,0
75,14033,1418,1825,8444,0,0
80,14033,1418,1825,8444,0,0
85,14032,1418,1825,8444,0,0
90,14031,1418,1824,8443,0,0
95,14029,1418,1824,8443,0,0
100,14029,1418,1823,8443,0,0
105,14028,1418,1823,8442,0,0
110,14027,1418,1822,8442,0,0
115,14025,1418,1822,8442,0,0
120,14024,1417,1822,8442,0,0
125,14021,1417,1822,8441,0,0
130,14018,1415,1822,8441,0,0
135,14016,1415,1822,8439,0,0
140,14012,1411,1822,8439,0,0
145,14012,1411,1822,8439,0,0
150,14010,1410,1823,8439,0,0
155,14008,1410,1823,8438,0,0
160,14008,1410,1823,8438,0,0
165,14008,1410,1822,8438,0,0
170,14006,1409,1822,8438,0,0
175,14006,1409,1822,8438,0,0
180,14004,1409,1822,8437,0,0
185,14004,1409,1822,8437,0,0
190,14003,1409,1822,8437,0,0
195,14003,1409,1822,8437,0,0
200,14002,1409,1822,8437,0,0
205,14002,1409,1822,8437,0,0
210,13993,1400,1822,8437,0,0
215,13993,1400,1822,8437,0,0
220,13991,1399,1822,8437,0,0
225,13990,1399,1822,8437,0,0
230,13990,1399,1821,8437,0,0
235,13989,1399,1821,8437,0,0
240,13987,1399,1821,8436,0,0
245,13987,1399,1820,8435,0,0
250,13986,1399,1820,8435,0,0
255,13985,1399,1820,8435,0,0
260,13980,1393,1820,8435,0,0
265,13978,1393,1820,8434,0,0
270,13977,1393,1820,8433,0,0
275,13975,1393,1820,8432,0,0
280,13973,1392,1820,8432,0,0
285,13973,1392,1820,8432,0,0
290,13971,1390,1820,8432,0,0
295,13971,1390,1820,8432,0,0
300,13971,1390,1819,8430,0,0
305,13967,1390,1818,8429,0,0
310,13966,1390,1818,8429,0,0
315,13966,1390,1816,8429,0,0
320,13963,1390,1815,8428,0,0
325,13962,1390,1814,8428,0,0
330,13956,1385,1813,8428,0,0
335,13955,1385,1813,8428,0,0
340,13954,1384,1813,8428,0,0
345,13954,1384,1813,8428,0,0
350,13953,1383,1813,8427,0,0
355,13953,1383,1809,8427,0,0
360,13948,1382,1810,8427,0,0
365,13948,1382,1810,8426,0,0
370,13945,1382,1810,8425,0,0
375,13945,1382,1810,8425,0,0
380,13942,1379,1810,8425,0,0
385,13942,1379,1810,8425,0,0
390,13942,1379,1810,8425,0,0
395,13942,1379,1809,8425,0,0
400,13941,1379,1809,8425,0,0
405,13941,1379,1808,8425,0,0
410,13934,1372,1808,8425,0,0
415,13933,1372,1808,8425,0,0
420,13933,1372,1808,8425,0,0
