day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14041,1420,1826,8447,0,0
15,14041,1420,1826,8447,0,0
20,14041,1420,1826,8447,0,0
25,14041,1420,1826,8447,0,0
30,14041,1420,1826,8447,0,0
35,14040,1420,1826,8446,0,0
40,14038,1420,1826,8445,0,0
45,14038,1420,1826,8445,0,0
50,14036,1418,1826,8445,0,0
55,14035,1418,1826,8444,0,0
60,14034,1418,1826,8444,0,0
65,14033,1418,1826,8443,0,0
70,14033,1418,1826,8443,0,0
75,14033,1418,1826,8443,0,0
80,14032,1418,1826,8442,0,0
85,14031,1418,1826,8442,0,0
90,14031,1418,1825,8442,0,0
95,14029,1418,1825,8442,0,0
100,14029,1418,1824,8442,0,0
105,14027,1418,1824,8441,0,0
110,14027,1418,1823,8441,0,0
115,14025,1418,1823,8441,0,0
120,14024,1417,1823,8441,0,0
125,14021,1417,1823,8440,0,0
130,14017,1415,1823,8439,0,0
135,14016,1415,1823,8439,0,0
140,14012,1411,1823,8439,0,0
145,14012,1411,1823,8439,0,0
150,14009,1410,1823,8439,0,0
155,14008,1410,1823,8439,0,0
160,14007,1410,1823,8438,0,0
165,14007,1410,1822,8437,0,0
170,14004,1409,1822,8437,0,0
175,14004,1409,1822,8437,0,0
180,14003,1409,1822,8437,0,0
185,14003,1409,1822,8437,0,0
190,14002,1409,1822,8437,0,0
195,14002,1409,1822,8437,0,0
200,14001,1409,1822,8437,0,0
205,14001,1409,1822,8437,0,0
210,13992,1400,1822,8437,0,0
215,13992,1400,1822,8437,0,0
220,13989,1399,1822,8437,0,0
225,13989,1399,1822,8437,0,0
230,13989,1399,1821,8437,0,0
235,13988,1399,1821,8437,0,0
240,13987,1399,1821,8437,0,0
245,13987,1399,1820,8437,0,0
250,13986,1399,1820,8436,0,0
255,13984,1399,1820,8435,0,0
260,13979,1393,1820,8435,0,0
265,13978,1393,1820,8435,0,0
270,13978,1393,1820,8435,0,0
275,13977,1393,1820,8435,0,0
280,13975,1392,1820,8435,0,0
285,13974,1392,1820,8434,0,0
290,13972,1390,1820,8434,0,0
295,13972,1390,1820,8434,0,0
300,13972,1390,1819,8434,0,0
305,13971,1390,1818,8434,0,0
310,13970,1390,1818,8434,0,0
315,13969,1390,1816,8433,0,0
320,13967,1390,1815,8433,0,0
325,13966,1390,1814,8433,0,0
330,13960,1385,1813,8433,0,0
335,13958,1385,1813,8432,0,0
340,13956,1384,1813,8431,0,0
345,13956,1384,1813,8431,0,0
350,13955,1383,1813,8431,0,0
355,13955,1383,1809,8431,0,0
360,13949,1382,1809,8431,0,0
365,13947,1382,1809,8430,0,0
370,13947,1382,1809,8430,0,0
375,13947,1382,1809,8430,0,0
380,13943,1379,1809,8429,0,0
385,13943,1379,1809,8429,0,0
390,13943,1379,1809,8429,0,0
395,13942,1379,1808,8428,0,0
400,13941,1379,1808,8427,0,0
405,13940,1379,1808,8427,0,0
410,13932,1372,1808,8426,0,0
415,13931,1372,1808,8426,0,0
420,13931,1372,1808,8426,0,0
