day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14039,1420,1825,8446,0,0
15,14039,1420,1825,8446,0,0
20,14038,1420,1825,8445,0,0
25,14038,1420,1825,8445,0,0
30,14037,1420,1825,8444,0,0
35,14037,1420,1825,8444,0,0
40,14036,1420,1825,8444,0,0
45,14036,1420,1825,8444,0,0
50,14034,1418,1825,8444,0,0
55,14034,1418,1825,8444,0,0
60,14032,1418,1825,8444,0,0
65,14031,1418,1825,8443,0,0
70,14030,1418,1825,8442,0,0
75,14030,1418,1825,8442,0,0
80,14030,1418,1825,8442,0,0
85,14029,1418,1825,8442,0,0
90,14029,1418,1824,8442,0,0
95,14027,1418,1824,8442,0,0
100,14027,1418,1823,8442,0,0
105,14026,1418,1823,8442,0,0
110,14026,1418,1822,8442,0,0
115,14024,1418,1822,8441,0,0
120,14023,1417,1823,8441,0,0
125,14021,1417,1823,8441,0,0
130,14017,1415,1823,8440,0,0
135,14017,1415,1823,8440,0,0
140,14013,1411,1823,8440,0,0
145,14013,1411,1823,8440,0,0
150,14010,1410,1823,8440,0,0
155,14009,1410,1823,8440,0,0
160,14009,1410,1823,8440,0,0
165,14009,1410,1822,8440,0,0
170,14007,1409,1822,8440,0,0
175,14007,1409,1822,8440,0,0
180,14006,1409,1822,8440,0,0
185,14006,1409,1822,8440,0,0
190,14004,1409,1822,8440,0,0
195,14004,1409,1822,8440,0,0
200,14003,1409,1822,8440,0,0
205,14003,1409,1822,8440,0,0
210,13995,1400,1823,8440,0,0
215,13995,1400,1823,8440,0,0
220,13993,1399,1823,8440,0,0
225,13993,1399,1823,8439,0,0
230,13993,1399,1822,8438,0,0
235,13990,1399,1822,8438,0,0
240,13989,1399,1822,8438,0,0
245,13989,1399,1821,8438,0,0
250,13989,1399,1821,8438,0,0
255,13988,1399,1821,8438,0,0
260,13982,1393,1820,8438,0,0
265,13981,1393,1820,8438,0,0
270,13981,1393,1820,8438,0,0
275,13980,1393,1820,8438,0,0
280,13978,1392,1820,8438,0,0
285,13978,1392,1820,8438,0,0
290,13976,1390,1820,8438,0,0
295,13975,1390,1820,8437,0,0
300,13975,1390,1819,8437,0,0
305,13973,1390,1818,8436,0,0
310,13972,1390,1818,8436,0,0
315,13971,1390,1816,8435,0,0
320,13969,1390,1815,8435,0,0
325,13968,1390,1814,8435,0,0
330,13962,1385,1813,8435,0,0
335,13961,1385,1813,8435,0,0
340,13958,1384,1813,8434,0,0
345,13958,1384,1813,8434,0,0
350,13957,1383,1813,8434,0,0
355,13957,1383,1809,8434,0,0
360,13951,1382,1809,8434,0,0
365,13951,1382,1809,8434,0,0
370,13951,1382,1809,8434,0,0
375,13950,1382,1809,8433,0,0
380,13946,1379,1809,8432,0,0
385,13946,1379,1809,8431,0,0
390,13945,1379,1809,8431,0,0
395,13945,1379,1808,8431,0,0
400,13943,1379,1808,8430,0,0
405,13943,1379,1808,8430,0,0
410,13936,1372,1808,8430,0,0
415,13936,1372,1808,8430,0,0
420,13936,1372,1808,8430,0,0
